,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
0,2008,1,mclaren,0.0,0.0,0.0
1,2008,1,williams,0.0,0.0,0.0
2,2008,1,bmw_sauber,0.0,0.0,0.0
3,2008,1,renault,0.0,0.0,0.0
4,2008,1,toro_rosso,0.0,0.0,0.0
5,2008,1,ferrari,0.0,0.0,0.0
6,2008,2,mclaren,14.0,1.0,1.0
7,2008,2,bmw_sauber,8.0,0.0,3.0
8,2008,2,ferrari,1.0,0.0,6.0
9,2008,2,williams,9.0,0.0,2.0
10,2008,2,renault,5.0,0.0,4.0
11,2008,2,toyota,0.0,0.0,0.0
12,2008,2,red_bull,0.0,0.0,0.0
13,2008,2,toro_rosso,2.0,0.0,5.0
14,2008,2,honda,0.0,0.0,0.0
15,2008,2,force_india,0.0,0.0,0.0
16,2008,2,super_aguri,0.0,0.0,0.0
17,2008,3,bmw_sauber,19.0,0.0,2.0
18,2008,3,ferrari,11.0,1.0,3.0
19,2008,3,mclaren,24.0,1.0,1.0
20,2008,3,williams,9.0,0.0,4.0
21,2008,3,toyota,5.0,0.0,6.0
22,2008,3,renault,6.0,0.0,5.0
23,2008,3,red_bull,2.0,0.0,7.0
24,2008,3,toro_rosso,2.0,0.0,8.0
25,2008,3,honda,0.0,0.0,9.0
26,2008,3,force_india,0.0,0.0,10.0
27,2008,3,super_aguri,0.0,0.0,11.0
28,2008,4,ferrari,29.0,2.0,2.0
29,2008,4,bmw_sauber,30.0,0.0,1.0
30,2008,4,mclaren,28.0,1.0,3.0
31,2008,4,williams,10.0,0.0,4.0
32,2008,4,toyota,8.0,0.0,5.0
33,2008,4,red_bull,4.0,0.0,7.0
34,2008,4,renault,6.0,0.0,6.0
35,2008,4,honda,0.0,0.0,9.0
36,2008,4,toro_rosso,2.0,0.0,8.0
37,2008,4,force_india,0.0,0.0,10.0
38,2008,4,super_aguri,0.0,0.0,11.0
39,2008,5,ferrari,47.0,3.0,1.0
40,2008,5,bmw_sauber,35.0,0.0,2.0
41,2008,5,mclaren,34.0,1.0,3.0
42,2008,5,williams,12.0,0.0,4.0
43,2008,5,red_bull,8.0,0.0,6.0
44,2008,5,toyota,9.0,0.0,5.0
45,2008,5,renault,6.0,0.0,7.0
46,2008,5,honda,3.0,0.0,8.0
47,2008,5,toro_rosso,2.0,0.0,9.0
48,2008,5,force_india,0.0,0.0,10.0
49,2008,5,super_aguri,0.0,0.0,11.0
50,2008,6,ferrari,63.0,4.0,1.0
51,2008,6,mclaren,42.0,1.0,3.0
52,2008,6,bmw_sauber,44.0,0.0,2.0
53,2008,6,williams,13.0,0.0,4.0
54,2008,6,red_bull,10.0,0.0,5.0
55,2008,6,toyota,9.0,0.0,6.0
56,2008,6,renault,9.0,0.0,7.0
57,2008,6,toro_rosso,2.0,0.0,9.0
58,2008,6,honda,3.0,0.0,8.0
59,2008,6,force_india,0.0,0.0,10.0
60,2008,6,super_aguri,0.0,0.0,11.0
61,2008,7,ferrari,69.0,4.0,1.0
62,2008,7,bmw_sauber,52.0,0.0,3.0
63,2008,7,mclaren,53.0,2.0,2.0
64,2008,7,red_bull,15.0,0.0,5.0
65,2008,7,toyota,9.0,0.0,6.0
66,2008,7,williams,15.0,0.0,4.0
67,2008,7,renault,9.0,0.0,7.0
68,2008,7,honda,6.0,0.0,9.0
69,2008,7,toro_rosso,6.0,0.0,8.0
70,2008,7,force_india,0.0,0.0,10.0
71,2008,7,super_aguri,0.0,0.0,11.0
72,2008,8,ferrari,73.0,4.0,1.0
73,2008,8,bmw_sauber,70.0,1.0,2.0
74,2008,8,mclaren,53.0,2.0,3.0
75,2008,8,red_bull,21.0,0.0,4.0
76,2008,8,toyota,17.0,0.0,5.0
77,2008,8,williams,15.0,0.0,6.0
78,2008,8,renault,9.0,0.0,7.0
79,2008,8,honda,8.0,0.0,8.0
80,2008,8,toro_rosso,7.0,0.0,9.0
81,2008,8,force_india,0.0,0.0,10.0
82,2008,8,super_aguri,0.0,0.0,11.0
83,2008,9,ferrari,91.0,5.0,1.0
84,2008,9,bmw_sauber,74.0,1.0,2.0
85,2008,9,mclaren,58.0,2.0,3.0
86,2008,9,toyota,23.0,0.0,5.0
87,2008,9,red_bull,24.0,0.0,4.0
88,2008,9,williams,15.0,0.0,6.0
89,2008,9,renault,12.0,0.0,7.0
90,2008,9,honda,8.0,0.0,8.0
91,2008,9,toro_rosso,7.0,0.0,9.0
92,2008,9,force_india,0.0,0.0,10.0
93,2008,9,super_aguri,0.0,0.0,11.0
94,2008,10,ferrari,96.0,5.0,1.0
95,2008,10,bmw_sauber,82.0,1.0,2.0
96,2008,10,mclaren,72.0,3.0,3.0
97,2008,10,toyota,25.0,0.0,4.0
98,2008,10,red_bull,24.0,0.0,5.0
99,2008,10,renault,15.0,0.0,7.0
100,2008,10,williams,16.0,0.0,6.0
101,2008,10,honda,14.0,0.0,8.0
102,2008,10,toro_rosso,7.0,0.0,9.0
103,2008,10,force_india,0.0,0.0,10.0
104,2008,10,super_aguri,0.0,0.0,11.0
105,2008,11,ferrari,105.0,5.0,1.0
106,2008,11,mclaren,86.0,4.0,3.0
107,2008,11,bmw_sauber,89.0,1.0,2.0
108,2008,11,toyota,25.0,0.0,4.0
109,2008,11,renault,23.0,0.0,6.0
110,2008,11,red_bull,24.0,0.0,5.0
111,2008,11,williams,16.0,0.0,7.0
112,2008,11,honda,14.0,0.0,8.0
113,2008,11,toro_rosso,8.0,0.0,9.0
114,2008,11,force_india,0.0,0.0,10.0
115,2008,11,super_aguri,0.0,0.0,11.0
116,2008,12,ferrari,111.0,5.0,1.0
117,2008,12,mclaren,100.0,5.0,2.0
118,2008,12,bmw_sauber,90.0,1.0,3.0
119,2008,12,toyota,35.0,0.0,4.0
120,2008,12,renault,31.0,0.0,5.0
121,2008,12,red_bull,24.0,0.0,6.0
122,2008,12,williams,16.0,0.0,7.0
123,2008,12,honda,14.0,0.0,8.0
124,2008,12,toro_rosso,8.0,0.0,9.0
125,2008,12,force_india,0.0,0.0,10.0
126,2008,12,super_aguri,0.0,0.0,11.0
127,2008,13,ferrari,121.0,6.0,1.0
128,2008,13,mclaren,113.0,5.0,2.0
129,2008,13,bmw_sauber,96.0,1.0,3.0
130,2008,13,toyota,41.0,0.0,4.0
131,2008,13,renault,31.0,0.0,5.0
132,2008,13,red_bull,24.0,0.0,6.0
133,2008,13,williams,17.0,0.0,7.0
134,2008,13,toro_rosso,11.0,0.0,9.0
135,2008,13,honda,14.0,0.0,8.0
136,2008,13,force_india,0.0,0.0,10.0
137,2008,13,super_aguri,0.0,0.0,11.0
138,2008,14,ferrari,131.0,7.0,1.0
139,2008,14,mclaren,119.0,5.0,2.0
140,2008,14,bmw_sauber,107.0,1.0,3.0
141,2008,14,toyota,41.0,0.0,4.0
142,2008,14,renault,36.0,0.0,5.0
143,2008,14,toro_rosso,17.0,0.0,8.0
144,2008,14,red_bull,25.0,0.0,6.0
145,2008,14,williams,17.0,0.0,7.0
146,2008,14,honda,14.0,0.0,9.0
147,2008,14,force_india,0.0,0.0,10.0
148,2008,14,super_aguri,0.0,0.0,11.0
149,2008,15,mclaren,129.0,5.0,2.0
150,2008,15,ferrari,134.0,7.0,1.0
151,2008,15,bmw_sauber,117.0,1.0,3.0
152,2008,15,renault,41.0,0.0,5.0
153,2008,15,toyota,41.0,0.0,4.0
154,2008,15,toro_rosso,27.0,1.0,6.0
155,2008,15,red_bull,26.0,0.0,7.0
156,2008,15,williams,17.0,0.0,8.0
157,2008,15,honda,14.0,0.0,9.0
158,2008,15,force_india,0.0,0.0,10.0
159,2008,15,super_aguri,0.0,0.0,11.0
160,2008,16,ferrari,134.0,7.0,2.0
161,2008,16,mclaren,135.0,5.0,1.0
162,2008,16,bmw_sauber,120.0,1.0,3.0
163,2008,16,renault,51.0,1.0,4.0
164,2008,16,toyota,46.0,0.0,5.0
165,2008,16,toro_rosso,31.0,1.0,6.0
166,2008,16,red_bull,28.0,0.0,7.0
167,2008,16,williams,26.0,0.0,8.0
168,2008,16,honda,14.0,0.0,9.0
169,2008,16,force_india,0.0,0.0,10.0
170,2008,16,super_aguri,0.0,0.0,11.0
171,2008,17,ferrari,142.0,7.0,1.0
172,2008,17,mclaren,135.0,5.0,2.0
173,2008,17,bmw_sauber,128.0,1.0,3.0
174,2008,17,renault,66.0,2.0,4.0
175,2008,17,toyota,50.0,0.0,5.0
176,2008,17,toro_rosso,34.0,1.0,6.0
177,2008,17,red_bull,29.0,0.0,7.0
178,2008,17,williams,26.0,0.0,8.0
179,2008,17,honda,14.0,0.0,9.0
180,2008,17,force_india,0.0,0.0,10.0
181,2008,17,super_aguri,0.0,0.0,11.0
182,2008,18,ferrari,156.0,7.0,1.0
183,2008,18,mclaren,145.0,6.0,2.0
184,2008,18,bmw_sauber,135.0,1.0,3.0
185,2008,18,renault,72.0,2.0,4.0
186,2008,18,toyota,52.0,0.0,5.0
187,2008,18,toro_rosso,34.0,1.0,6.0
188,2008,18,red_bull,29.0,0.0,7.0
189,2008,18,williams,26.0,0.0,8.0
190,2008,18,honda,14.0,0.0,9.0
191,2008,18,force_india,0.0,0.0,10.0
192,2008,18,super_aguri,0.0,0.0,11.0
193,2009,1,brawn,0.0,0.0,0.0
194,2009,1,toyota,0.0,0.0,0.0
195,2009,1,renault,0.0,0.0,0.0
196,2009,1,williams,0.0,0.0,0.0
197,2009,1,toro_rosso,0.0,0.0,0.0
198,2009,1,force_india,0.0,0.0,0.0
