,season,round,driver,driver_points,driver_wins,driver_standings_pos
0,2000,1,michael_schumacher,0.0,0.0,0.0
1,2000,1,barrichello,0.0,0.0,0.0
2,2000,1,ralf_schumacher,0.0,0.0,0.0
3,2000,1,villeneuve,0.0,0.0,0.0
4,2000,1,fisichella,0.0,0.0,0.0
5,2000,1,zonta,0.0,0.0,0.0
6,2000,1,wurz,0.0,0.0,0.0
7,2000,1,gene,0.0,0.0,0.0
8,2000,1,heidfeld,0.0,0.0,0.0
9,2000,2,michael_schumacher,10.0,1.0,1.0
10,2000,2,fisichella,2.0,0.0,5.0
11,2000,2,barrichello,6.0,0.0,2.0
12,2000,2,ralf_schumacher,4.0,0.0,3.0
13,2000,2,frentzen,0.0,0.0,0.0
14,2000,2,trulli,0.0,0.0,0.0
15,2000,2,villeneuve,3.0,0.0,4.0
16,2000,2,zonta,1.0,0.0,6.0
17,2000,2,button,0.0,0.0,0.0
18,2000,2,verstappen,0.0,0.0,0.0
19,2000,2,wurz,0.0,0.0,7.0
20,2000,2,rosa,0.0,0.0,0.0
21,2000,2,gene,0.0,0.0,8.0
22,2000,2,heidfeld,0.0,0.0,9.0
23,2000,2,mazzacane,0.0,0.0,0.0
24,2000,3,michael_schumacher,20.0,2.0,1.0
25,2000,3,barrichello,6.0,0.0,3.0
26,2000,3,fisichella,8.0,0.0,2.0
27,2000,3,hakkinen,0.0,0.0,0.0
28,2000,3,ralf_schumacher,6.0,0.0,4.0
29,2000,3,villeneuve,3.0,0.0,7.0
30,2000,3,coulthard,0.0,0.0,0.0
31,2000,3,frentzen,4.0,0.0,5.0
32,2000,3,trulli,3.0,0.0,6.0
33,2000,3,zonta,1.0,0.0,8.0
34,2000,3,button,1.0,0.0,9.0
35,2000,3,salo,0.0,0.0,0.0
36,2000,3,wurz,0.0,0.0,11.0
37,2000,3,verstappen,0.0,0.0,10.0
38,2000,3,irvine,0.0,0.0,0.0
39,2000,3,rosa,0.0,0.0,12.0
40,2000,3,diniz,0.0,0.0,0.0
41,2000,3,gene,0.0,0.0,13.0
42,2000,3,heidfeld,0.0,0.0,14.0
43,2000,3,mazzacane,0.0,0.0,15.0
44,2000,3,herbert,0.0,0.0,0.0
45,2000,4,michael_schumacher,30.0,3.0,1.0
46,2000,4,coulthard,4.0,0.0,7.0
47,2000,4,hakkinen,6.0,0.0,4.0
48,2000,4,barrichello,9.0,0.0,2.0
49,2000,4,ralf_schumacher,6.0,0.0,5.0
50,2000,4,fisichella,8.0,0.0,3.0
51,2000,4,villeneuve,5.0,0.0,6.0
52,2000,4,frentzen,4.0,0.0,8.0
53,2000,4,trulli,3.0,0.0,9.0
54,2000,4,button,1.0,0.0,11.0
55,2000,4,salo,1.0,0.0,12.0
56,2000,4,zonta,1.0,0.0,10.0
57,2000,4,wurz,0.0,0.0,13.0
58,2000,4,irvine,0.0,0.0,15.0
59,2000,4,verstappen,0.0,0.0,14.0
60,2000,4,diniz,0.0,0.0,17.0
61,2000,4,gene,0.0,0.0,18.0
62,2000,4,rosa,0.0,0.0,16.0
63,2000,4,heidfeld,0.0,0.0,19.0
64,2000,4,herbert,0.0,0.0,21.0
65,2000,4,mazzacane,0.0,0.0,20.0
66,2000,4,alesi,0.0,0.0,0.0
67,2000,5,michael_schumacher,34.0,3.0,1.0
68,2000,5,hakkinen,12.0,0.0,3.0
69,2000,5,coulthard,14.0,1.0,2.0
70,2000,5,barrichello,9.0,0.0,4.0
71,2000,5,ralf_schumacher,9.0,0.0,5.0
72,2000,5,fisichella,8.0,0.0,6.0
73,2000,5,frentzen,4.0,0.0,8.0
74,2000,5,villeneuve,5.0,0.0,7.0
75,2000,5,trulli,4.0,0.0,9.0
76,2000,5,button,3.0,0.0,10.0
77,2000,5,salo,1.0,0.0,11.0
78,2000,5,zonta,1.0,0.0,12.0
79,2000,5,wurz,0.0,0.0,13.0
80,2000,5,irvine,0.0,0.0,14.0
81,2000,5,verstappen,0.0,0.0,15.0
82,2000,5,diniz,0.0,0.0,16.0
83,2000,5,gene,0.0,0.0,17.0
84,2000,5,rosa,0.0,0.0,18.0
85,2000,5,heidfeld,0.0,0.0,19.0
86,2000,5,herbert,0.0,0.0,20.0
87,2000,5,mazzacane,0.0,0.0,21.0
88,2000,5,alesi,0.0,0.0,22.0
89,2000,6,michael_schumacher,36.0,3.0,1.0
90,2000,6,hakkinen,22.0,1.0,2.0
91,2000,6,coulthard,20.0,1.0,3.0
92,2000,6,barrichello,13.0,0.0,4.0
93,2000,6,ralf_schumacher,12.0,0.0,5.0
94,2000,6,fisichella,8.0,0.0,6.0
95,2000,6,frentzen,5.0,0.0,7.0
96,2000,6,villeneuve,5.0,0.0,8.0
97,2000,6,trulli,4.0,0.0,9.0
98,2000,6,button,3.0,0.0,10.0
99,2000,6,salo,1.0,0.0,11.0
100,2000,6,zonta,1.0,0.0,12.0
101,2000,6,rosa,0.0,0.0,18.0
102,2000,6,diniz,0.0,0.0,16.0
103,2000,6,wurz,0.0,0.0,13.0
104,2000,6,irvine,0.0,0.0,14.0
105,2000,6,verstappen,0.0,0.0,15.0
106,2000,6,mazzacane,0.0,0.0,21.0
107,2000,6,gene,0.0,0.0,17.0
108,2000,6,alesi,0.0,0.0,22.0
109,2000,6,heidfeld,0.0,0.0,19.0
110,2000,6,herbert,0.0,0.0,20.0
111,2000,7,michael_schumacher,46.0,4.0,1.0
112,2000,7,coulthard,24.0,1.0,3.0
113,2000,7,hakkinen,28.0,1.0,2.0
114,2000,7,barrichello,16.0,0.0,4.0
115,2000,7,fisichella,10.0,0.0,6.0
116,2000,7,ralf_schumacher,12.0,0.0,5.0
117,2000,7,frentzen,5.0,0.0,7.0
118,2000,7,villeneuve,5.0,0.0,8.0
119,2000,7,trulli,4.0,0.0,9.0
120,2000,7,irvine,0.0,0.0,16.0
121,2000,7,salo,1.0,0.0,11.0
122,2000,7,button,3.0,0.0,10.0
123,2000,7,zonta,1.0,0.0,12.0
124,2000,7,rosa,1.0,0.0,13.0
125,2000,7,diniz,0.0,0.0,14.0
126,2000,7,wurz,0.0,0.0,15.0
127,2000,7,verstappen,0.0,0.0,17.0
128,2000,7,heidfeld,0.0,0.0,21.0
129,2000,7,mazzacane,0.0,0.0,18.0
130,2000,7,gene,0.0,0.0,19.0
131,2000,7,herbert,0.0,0.0,22.0
132,2000,7,alesi,0.0,0.0,20.0
133,2000,8,michael_schumacher,46.0,4.0,1.0
134,2000,8,coulthard,34.0,2.0,2.0
135,2000,8,hakkinen,29.0,1.0,3.0
136,2000,8,barrichello,22.0,0.0,4.0
137,2000,8,fisichella,14.0,0.0,5.0
138,2000,8,ralf_schumacher,12.0,0.0,6.0
139,2000,8,frentzen,5.0,0.0,7.0
140,2000,8,villeneuve,5.0,0.0,8.0
141,2000,8,trulli,4.0,0.0,9.0
142,2000,8,irvine,3.0,0.0,10.0
143,2000,8,salo,3.0,0.0,11.0
144,2000,8,button,3.0,0.0,12.0
145,2000,8,verstappen,0.0,0.0,17.0
146,2000,8,zonta,1.0,0.0,13.0
